File	@xml:id	type	orth
xdge1	Α	NP	Α
xdge1	Α	2	α
xdge1	ἆ	interj	ἆ
xdge1	ἀ-1	afix	1 ἀ-
xdge1	ἀ-2	afix	2 ἀ-
xdge1	ἀ-3	afix	3 ἀ-
xdge1	ἁ-	afix	ἁ-
xdge1	ἀά	subst	ἀά
xdge1	ἀάατος	adj	ἀάατος
xdge1	Ἀάβ	xr	Ἀάβ
xdge1	ἀάβακτος	adj	ἀάβακτος
xdge1	ἀάγη	subst	ἀάγη
xdge1	ἀᾱγής	adj	ἀᾱγής
xdge1	ἀαδεῖν	·	ἀαδεῖν·
xdge1	ἀαδέν	·	ἀαδέν·
xdge1	ἀαδές	xr	ἀαδές
xdge1	ἀάζω	v	ἀάζω
xdge1	ἀάθεκτον	·	ἀάθεκτον·
xdge1	ἀάθι	·	ἀάθι·
xdge1	ἀαίνω	v	ἀαίνω
xdge1	ἀάκατος	·	ἀάκατος·
xdge1	ἀακίδωτος	adj	ἀακίδωτος
xdge1	ἀακραγές	·	ἀακραγές·
xdge1	ἄακτος	adj	ἄακτος
xdge1	ἀϜαλαλκάνα	dmic	*ἀϜαλαλκάνα
xdge1	Ααλαφ	NP	Ααλαφ
xdge1	ἀάλιον	·	ἀάλιον·
xdge1	ἀαλμά	subst	ἀαλμά
xdge1	ἀαναίμα	·	†ἀαναίμα·
xdge1	ἄϜαναξ	adj	ἄϜαναξ
xdge1	ἀανές	·	ἀανές·
xdge1	ἀανής		ἀανής
xdge1	ἀάνθα	subst	ἀάνθα
xdge1	Ἀανῖτις	xr	Ἀανῖτις
xdge1	ἄαπτος	adj	ἄαπτος
xdge1	Ἀαρασσός	NP	Ἀαρασσός
xdge1	ἀαρών	subst	ἀαρών
xdge1	Ἀαρών	NP	Ἀαρών
xdge1	Ααρωνίδης	NP	Ααρωνίδης
xdge1	ἄᾱς	adv	ἄᾱς
xdge1	ἀασιφόρος	adj	ἀασιφόρος
xdge1	ἀασιφρονία	subst	ἀασιφρονία
xdge1	ἀασιφροσύνη	xr	ἀασιφροσύνη
